mol,iso,global_id
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,129
2,1,7
2,2,8
2,3,9
2,4,10
2,5,11
2,6,12
2,7,13
2,8,14
2,9,121
2,10,15
2,11,120
2,12,122
3,1,16
3,2,17
3,3,18
3,4,19
3,5,20
4,1,21
4,2,22
4,3,23
4,4,24
4,5,25
5,1,26
5,2,27
5,3,28
5,4,29
5,5,30
5,6,31
6,1,32
6,2,33
6,3,34
6,4,35
7,1,36
7,2,37
7,3,38
8,1,39
8,2,40
8,3,41
9,1,42
9,2,43
9,3,137
9,4,138
10,1,44
10,2,130
10,3,149
11,1,45
11,2,46
12,1,47
12,2,117
13,1,48
13,2,49
13,3,50
14,1,51
14,2,110
15,1,52
15,2,53
15,3,107
15,4,108
16,1,54
16,2,55
16,3,111
16,4,112
17,1,56
17,2,113
18,1,57
18,2,58
19,1,59
19,2,60
19,3,61
19,4,62
19,5,63
19,6,135
20,1,64
20,2,65
20,3,66
21,1,67
21,2,68
22,1,69
22,2,118
23,1,70
23,2,71
23,3,72
24,1,73
24,2,74
25,1,75
26,1,76
26,2,77
26,3,105
27,1,78
27,2,106
28,1,79
29,1,80
29,2,119
30,1,126
31,1,81
31,2,82
31,3,83
32,1,84
32,2,150
33,1,85
34,1,86
35,1,127
35,2,128
36,1,87
37,1,88
37,2,89
38,1,90
38,2,91
39,1,92
40,1,93
40,2,94
41,1,95
42,1,96
43,1,116
44,1,109
45,1,103
45,2,115
46,1,97
46,2,98
46,3,99
46,4,100
47,1,114
48,1,123
49,1,124
49,2,125
50,1,146
50,2,147
50,3,148
51,1,144
51,2,151
52,1,139
52,2,140
52,3,141
52,4,142
52,5,143
53,1,131
53,2,132
53,3,133
53,4,134
54,1,145
55,1,136
56,1,158
57,1,159
58,1,152
59,1,153
59,2,154
60,1,157
61,1,155
61,2,156
