# CO2 4.3µm, p=1013hPa T=296K. nu  sigma_Voigt_noLM  sigma_lineMixing
2280.0  4.706344132625698e-21  3.608935639555826e-21
2280.02  5.231322877917164e-21  4.140949301280522e-21
2280.04  5.863904732504866e-21  4.7813340458962106e-21
2280.06  6.638621834303178e-21  5.564702041276141e-21
2280.08  7.601031139218123e-21  6.5366938811881834e-21
2280.1  8.809063586986401e-21  7.755311307570591e-21
2280.12  1.0334758378048449e-20  9.292662815738013e-21
2280.14  1.227436006889062e-20  1.1245138953959248e-20
2280.16  1.4778359831627975e-20  1.376353580320434e-20
2280.18  1.8046642816298204e-20  1.7048152515611905e-20
2280.2  2.2180130465106793e-20  2.1200171128251825e-20
2280.22  2.6952524905664837e-20  2.599181850771188e-20
2280.24  3.206827293673191e-20  3.1120760483725964e-20
2280.26  3.784387827865963e-20  3.6891087152397894e-20
2280.28  4.45375403480006e-20  4.354748027073427e-20
2280.3  5.104051972959471e-20  4.9969837652065594e-20
2280.32  5.482525172941197e-20  5.363277926166145e-20
2280.34  5.3717869308945916e-20  5.238984615627805e-20
2280.36  4.8103483624544285e-20  4.66642247839957e-20
2280.38  4.043162476800521e-20  3.8924521129306415e-20
2280.4  3.291976291940906e-20  3.138332279967364e-20
2280.42  2.658429515048392e-20  2.50431918787639e-20
2280.44  2.1608992821171654e-20  2.007605706564149e-20
2280.46  1.783549879600165e-20  1.6311951088072874e-20
2280.48  1.5020112967267987e-20  1.3512130571859513e-20
2280.5  1.2944031947946958e-20  1.145124547396332e-20
2280.52  1.1441813094913939e-20  9.963342492996654e-21
2280.54  1.0401171793553115e-20  8.935749427842003e-21
2280.56  9.755586465234844e-21  8.301924271677353e-21
2280.58  9.476865241345046e-21  8.03381126689999e-21
2280.6  9.558441343125109e-21  8.125134628857361e-21
2280.62  9.972284033349332e-21  8.548329573297638e-21
2280.64  1.0579045649249892e-20  9.164602474820728e-21
2280.66  1.1039388773168986e-20  9.63485566758214e-21
2280.68  1.0943303396736414e-20  9.548511853099612e-21
2280.7  1.0208330669870617e-20  8.82200239762469e-21
2280.72  9.179755984171251e-21  7.79994713090891e-21
2280.74  8.236535170870318e-21  6.861471675040218e-21
2280.76  7.547406850827728e-21  6.175948201646848e-21
2280.78  7.13808415816138e-21  5.769823029615128e-21
2280.8  6.951924552969142e-21  5.5871634745608835e-21
2280.82  6.805985306425047e-21  5.445496467837895e-21
2280.84  6.465259692266735e-21  5.109565901522364e-21
2280.86  5.9110798386985655e-21  4.559682510481856e-21
2280.88  5.335097293497101e-21  3.986916887220935e-21
2280.9  4.880851238262151e-21  3.535055918936344e-21
2280.92  4.570681431041734e-21  3.2268704996055877e-21
2280.94  4.3752342569066085e-21  3.033239954670342e-21
2280.96  4.254999120813579e-21  2.914790745673508e-21
2280.98  4.150215493179656e-21  2.811774352654517e-21
2281.0  4.030548156141298e-21  2.693579004285e-21
2281.02  3.942351328313306e-21  2.6063381735984787e-21
2281.04  3.941584970086526e-21  2.6060874438284428e-21
2281.06  4.076917009532514e-21  2.767830518159312e-21
2281.08  4.331288184313992e-21  3.022301833199124e-21
2281.1  4.755212066693246e-21  3.446374241367354e-21
2281.12  5.3801852331378254e-21  4.072023646250363e-21
2281.14  6.201841477154606e-21  4.895243805860069e-21
2281.16  7.160792766923626e-21  5.856830477381139e-21
2281.18  8.22722839227927e-21  6.927311450359093e-21
2281.2  9.322557927823604e-21  8.024668392725432e-21
2281.22  9.957748226489245e-21  8.66881098073855e-21
2281.24  9.644104407284444e-21  8.364281042630368e-21
2281.26  8.777312335719178e-21  7.503426174760634e-21
2281.28  8.064038511969022e-21  6.792963501512397e-21
2281.3  7.789429807618273e-21  6.519654456715666e-21
2281.32  7.956565493104734e-21  6.687606215500182e-21
2281.34  8.496790398173072e-21  7.228647695432382e-21
2281.36  9.231118603585291e-21  7.96426948793108e-21
2281.38  9.776482236317344e-21  8.511821343672135e-21
2281.4  9.696988198947378e-21  8.435207267227033e-21
2281.42  8.92646892292197e-21  7.667489286906039e-21
2281.44  7.833828901589515e-21  6.5771716758422264e-21
2281.46  6.801404055415608e-21  5.546772402534886e-21
2281.48  5.9956443116851e-21  4.743018629882429e-21
2281.5  5.431718526188068e-21  4.181252412703021e-21
2281.52  5.0730805499923116e-21  3.825003043578197e-21
2281.54  4.879932074412533e-21  3.634686297054477e-21
2281.56  4.822800218968638e-21  3.580658873218513e-21
2281.58  4.880657520816445e-21  3.642033722554487e-21
2281.6  5.033951268317601e-21  3.799328400599193e-21
2281.62  5.2541671541310096e-21  4.024180742928623e-21
2281.64  5.509622227233083e-21  4.285078736451603e-21
2281.66  5.802922779080703e-21  4.5845923336271214e-21
2281.68  6.180151023192605e-21  4.968707652128278e-21
2281.7  6.685625778985654e-21  5.481788160855022e-21
2281.72  7.347019316552947e-21  6.1515279454151995e-21
2281.74  8.209811993997883e-21  7.023266665663957e-21
2281.76  9.355614809500627e-21  8.178497825972469e-21
2281.78  1.0887166926375226e-20  9.719202242026415e-21
2281.8  1.292023488183375e-20  1.1760257760049895e-20
2281.82  1.5574151554314883e-20  1.4418833992400538e-20
2281.84  1.89323516204208e-20  1.7774396980130652e-20
2281.86  2.292122173489707e-20  2.1746896783792785e-20
2281.88  2.7035964415131403e-20  2.5823668858330767e-20
2281.9  3.018054259913251e-20  2.8903823055867874e-20
2281.92  3.120796271367618e-20  2.984713603239663e-20
2281.94  2.987221053580805e-20  2.84240085011933e-20
2281.96  2.7047114899209984e-20  2.5536254399810998e-20
2281.98  2.3970357279277256e-20  2.2423084650032807e-20
2282.0  2.149018095462812e-20  1.9927366009443494e-20
2282.02  1.9899509646256645e-20  1.8334141489525858e-20
2282.04  1.9075384086065747e-20  1.7514212167870022e-20
2282.06  1.864174375320313e-20  1.7087386048085064e-20
2282.08  1.8129917641676814e-20  1.658286957116866e-20
2282.1  1.7356237856038397e-20  1.5816325627824926e-20
2282.12  1.6652374867225187e-20  1.511939359407797e-20
2282.14  1.648950317392752e-20  1.4963323848724186e-20
2282.16  1.724218422680912e-20  1.5722855046957272e-20
2282.18  1.918680532751166e-20  1.7676146763939277e-20
2282.2  2.1919004835588505e-20  2.0423262623161256e-20
2282.22  2.34134409813952e-20  2.1941549042590826e-20
2282.24  2.1576723018056447e-20  2.0129826985795952e-20
2282.26  1.7599680552337012e-20  1.6168259419137832e-20
2282.28  1.3831859545703617e-20  1.2406351677118771e-20
2282.3  1.1110936640434495e-20  9.686324422375128e-21
2282.32  9.342149341133736e-21  7.916471052061483e-21
2282.34  8.278180605817917e-21  6.850812757410766e-21
2282.36  7.740851743775564e-21  6.311730619231946e-21
2282.38  7.632839326229845e-21  6.202378083182637e-21
2282.4  7.914877936244478e-21  6.483523386677765e-21
2282.42  8.597379810263718e-21  7.16623304900434e-21
2282.44  9.667936349973486e-21  8.239415665400041e-21
2282.46  1.0789410275954346e-20  9.368183042063444e-21
2282.48  1.1124293703839289e-20  9.714443059052419e-21
2282.5  1.0227310899253812e-20  8.827919682601415e-21
2282.52  8.758981950035116e-21  7.364883203150163e-21
2282.54  7.461037079216603e-21  6.067725481597428e-21
2282.56  6.5450870947803866e-21  5.150268668900183e-21
2282.58  5.9558020419561856e-21  4.5587784496250204e-21
2282.6  5.597394141163396e-21  4.1983074278672026e-21
2282.62  5.383491713017267e-21  3.982762415945051e-21
2282.64  5.278336007227381e-21  3.8762418049674264e-21
2282.66  5.318637766856534e-21  3.915192323762945e-21
2282.68  5.564559343046598e-21  4.156092098723158e-21
2282.7  6.062352408528033e-21  4.652423837574936e-21
2282.72  6.841057444911858e-21  5.429647297188889e-21
2282.74  7.886088296900912e-21  6.5256087496785765e-21
2282.76  8.962209204662017e-21  7.600028148406663e-21
2282.78  9.645559732173827e-21  8.281523442661182e-21
2282.8  9.54288718461504e-21  8.177030169363026e-21
2282.82  8.77320236506346e-21  7.405860328210861e-21
2282.84  7.80038948473626e-21  6.431693839609686e-21
2282.86  6.97604659757816e-21  5.606218319541205e-21
2282.88  6.440027824194302e-21  5.069438835896561e-21
2282.9  6.186528156234841e-21  4.8159440288725766e-21
2282.92  6.0891715714011324e-21  4.719871905133121e-21
2282.94  5.905049548127519e-21  4.5382460357354155e-21
2282.96  5.476441294063917e-21  4.111945503152789e-21
2282.98  4.935793526913649e-21  3.5720790509785445e-21
2283.0  4.4845279915244426e-21  3.120266842958539e-21
2283.02  4.197398737618617e-21  2.8317809276208132e-21
2283.04  4.063564358657553e-21  2.6964468355914687e-21
2283.06  4.0390829749853054e-21  2.670685456591539e-21
2283.08  4.04215308292167e-21  2.6728163938799574e-21
2283.1  3.998140099199903e-21  2.6278206969823547e-21
2283.12  3.931097549643398e-21  2.5592192987909652e-21
2283.14  3.902591028059066e-21  2.5283725535263465e-21
2283.16  3.931990060697192e-21  2.5549297436322977e-21
2283.18  4.027902694276626e-21  2.64782323204033e-21
2283.2  4.2158578526003526e-21  2.8328365859503584e-21
2283.22  4.5347428658897726e-21  3.149060956756576e-21
2283.24  5.014937826619568e-21  3.6270998520933835e-21
2283.26  5.624076486872747e-21  4.235010120039205e-21
2283.28  6.2065707974593155e-21  4.8176471100617305e-21
2283.3  6.570230680376803e-21  5.182286487408734e-21
2283.32  6.764820658528612e-21  5.3771172694893116e-21
2283.34  7.076036096396998e-21  5.687025403408253e-21
2283.36  7.75632784441532e-21  6.3647958569242696e-21
2283.38  8.966269819305395e-21  7.57159184153918e-21
2283.4  1.0820126929123047e-20  9.418924825466756e-21
2283.42  1.330221396591109e-20  1.1898713441437654e-20
2283.44  1.5957924724090166e-20  1.4554778858235973e-20
2283.46  1.7572075969609604e-20  1.6173785691481425e-20
2283.48  1.6925796121190717e-20  1.5535164759343416e-20
2283.5  1.4444892547055775e-20  1.3059590230789184e-20
2283.52  1.1628469759811274e-20  1.0244183168113494e-20
2283.54  9.345115800195626e-21  7.959088921579607e-21
2283.56  7.715860208641667e-21  6.32706871150804e-21
2283.58  6.590337457434864e-21  5.1986848622475076e-21
2283.6  5.786482137762077e-21  4.39227020866628e-21
2283.62  5.1846494764815485e-21  3.787732898211596e-21
2283.64  4.742318573928889e-21  3.3425263927405603e-21
2283.66  4.442821750450842e-21  3.0400032654465814e-21
2283.68  4.262740193579877e-21  2.8568193637305864e-21
2283.7  4.161803482376829e-21  2.7526948304048047e-21
2283.72  4.093790506873963e-21  2.6812010265319647e-21
2283.74  4.034625047788583e-21  2.6184857114554746e-21
2283.76  3.986387701239226e-21  2.566293794679398e-21
2283.78  3.957161316828892e-21  2.5332495293029272e-21
2283.8  3.949703888312358e-21  2.5221995946249906e-21
2283.82  3.977033683975499e-21  2.5459943234199872e-21
2283.84  4.061456252212911e-21  2.626808093990833e-21
2283.86  4.2084076409102955e-21  2.7700697988653788e-21
2283.88  4.414882683303262e-21  2.972693186478457e-21
2283.9  4.7062548763256885e-21  3.259937050412482e-21
2283.92  5.13298737856271e-21  3.6823779561973355e-21
2283.94  5.7338817888502666e-21  4.2792636922938905e-21
2283.96  6.4807642324860825e-21  5.023162403536283e-21
2283.98  7.20018595331438e-21  5.741133691354502e-21
2284.0  7.65800672214837e-21  6.19804370303391e-21
2284.02  7.892391208504272e-21  6.429961901053959e-21
2284.04  8.204995479107882e-21  6.7377952161432145e-21
2284.06  8.846546505361378e-21  7.372946806441791e-21
2284.08  9.941195392221188e-21  8.460430116988519e-21
2284.1  1.1512733561421231e-20  1.0024235926786113e-20
2284.12  1.3409119055022775e-20  1.190996288908341e-20
2284.14  1.5203810904075636e-20  1.3696206887420795e-20
2284.16  1.6422760730415575e-20  1.4907143051897912e-20
2284.18  1.705700836903012e-20  1.553671082764932e-20
2284.2  1.7586730622260305e-20  1.606908127334169e-20
2284.22  1.834211270590155e-20  1.6838267679249916e-20
2284.24  1.9125756089079212e-20  1.764846169818602e-20
2284.26  1.937270321742773e-20  1.7931838233308924e-20
2284.28  1.8630904865257262e-20  1.7227302731640596e-20
2284.3  1.7019760422129878e-20  1.5644302038010946e-20
2284.32  1.509671036468702e-20  1.373628751041518e-20
2284.34  1.3342460775787959e-20  1.19861341592902e-20
2284.36  1.1970110557856444e-20  1.0611015340759736e-20
2284.38  1.1019300349748588e-20  9.727217623503262e-21
2284.4  1.0427423086353352e-20  9.12668179800592e-21
2284.42  1.0214340453901025e-20  8.903389351601413e-21
2284.44  1.0421893133768427e-20  9.099555397188306e-21
2284.46  1.1112110793478754e-20  9.77769851900513e-21
2284.48  1.2415418561852159e-20  1.1068648218376844e-20
2284.5  1.4588332466319958e-20  1.3229514333259191e-20
2284.52  1.8015102057962377e-20  1.6645873102471852e-20
2284.54  2.305279498906483e-20  2.1678177497745074e-20
2284.56  2.9306397672359135e-20  2.7938029204375724e-20
2284.58  3.415870751615401e-20  3.2813703804538774e-20
2284.6  3.3950420774921046e-20  3.2636259266345044e-20
2284.62  2.9585454349670265e-20  2.829014396385654e-20
2284.64  2.5150758174313955e-20  2.3858925725073043e-20
2284.66  2.2659510655335042e-20  2.136484369960021e-20
2284.68  2.1929805341653232e-20  2.0634923146325823e-20
2284.7  2.1622353503120692e-20  2.0334165146908958e-20
2284.72  2.037208130213101e-20  1.9093290917892855e-20
2284.74  1.8377022179326658e-20  1.7102361449295477e-20
2284.76  1.671268914466576e-20  1.5434898819068525e-20
2284.78  1.579239615303282e-20  1.450628982057761e-20
2284.8  1.5240325343950017e-20  1.3942510218037912e-20
2284.82  1.4367500296735668e-20  1.305650508031187e-20
2284.84  1.2895145813399289e-20  1.1569262730352573e-20
2284.86  1.1182681725108826e-20  9.846187565388548e-21
2284.88  9.658572971084668e-21  8.313142750802348e-21
2284.9  8.477536187255482e-21  7.124220793562403e-21
2284.92  7.640022983218867e-21  6.279594155794047e-21
2284.94  7.126804761959764e-21  5.759948109804967e-21
2284.96  6.92337663371298e-21  5.550805604079912e-21
2284.98  7.002085714574963e-21  5.624856618018328e-21
2285.0  7.259714266688437e-21  5.879742726794723e-21
2285.02  7.429075037014839e-21  6.048617429902778e-21
2285.04  7.219559357278604e-21  5.8392257882274944e-21
2285.06  6.690797351488392e-21  5.309042770582328e-21
2285.08  6.147838892710207e-21  4.762458861134141e-21
2285.1  5.7797664958532306e-21  4.389352097778754e-21
2285.12  5.622359083811226e-21  4.2264070326489204e-21
2285.14  5.631425017476528e-21  4.230086038564316e-21
2285.16  5.695720989280317e-21  4.289420126661813e-21
2285.18  5.688043104403919e-21  4.276937270371234e-21
2285.2  5.608321841958107e-21  4.191864069301011e-21
2285.22  5.56102118049021e-21  4.138593700662517e-21
2285.24  5.607913236419032e-21  4.1792602506178335e-21
2285.26  5.7405034844952274e-21  4.305609592424837e-21
2285.28  5.929115107227242e-21  4.487880904598766e-21
2285.3  6.18909757528238e-21  4.741243728883312e-21
2285.32  6.593184619812154e-21  5.138142471909203e-21
2285.34  7.21311495810799e-21  5.750766103920053e-21
2285.36  8.06872663283157e-21  6.599594389920799e-21
2285.38  9.065339663610658e-21  7.59057512041484e-21
2285.4  9.992001305780418e-21  8.512461308338165e-21
2285.42  1.0783266106431471e-20  9.29747585879572e-21
2285.44  1.1670151147900854e-20  1.0174809493149097e-20
2285.46  1.2830200891572564e-20  1.1321447242562017e-20
2285.48  1.4084728544839696e-20  1.255886045079182e-20
2285.5  1.493221514964887e-20  1.3386436709051041e-20
2285.52  1.5049424812686958e-20  1.3483016495889178e-20
2285.54  1.4755923693304158e-20  1.3168335871800347e-20
2285.56  1.4651145119986682e-20  1.304423304714783e-20
2285.58  1.5149799795599e-20  1.3523040404970587e-20
2285.6  1.646158943195685e-20  1.4814021212689632e-20
2285.62  1.8738569483979503e-20  1.7069938342757052e-20
2285.64  2.212548670304914e-20  2.043736758920346e-20
2285.66  2.6555384565108415e-20  2.4853635926192375e-20
2285.68  3.127027951905388e-20  2.9565773722616755e-20
2285.7  3.501114095093028e-20  3.3316362189892026e-20
2285.72  3.7697203027231917e-20  3.6024111733350195e-20
2285.74  4.0459176340290587e-20  3.882781768184245e-20
2285.76  4.349980406507745e-20  4.1945413021819333e-20
2285.78  4.548625191778272e-20  4.404966511401625e-20
2285.8  4.4732932328371994e-20  4.343566118452115e-20
2285.82  4.089567270924301e-20  3.972225429275237e-20
2285.84  3.527434178282324e-20  3.4183314011265e-20
2285.86  2.9485680756117314e-20  2.8434086318286177e-20
2285.88  2.4467435442608593e-20  2.342459889526457e-20
2285.9  2.0486633020812437e-20  1.9434819055913277e-20
2285.92  1.7478896553858862e-20  1.6409386645021746e-20
2285.94  1.528925403666005e-20  1.419855600526934e-20
2285.96  1.377791797939978e-20  1.2665282521528643e-20
2285.98  1.2847378665859928e-20  1.1713428848142895e-20
2286.0  1.2442343107743984e-20  1.1368871569587899e-20
2286.02  1.247740957647393e-20  1.1386399093578157e-20
2286.04  1.2836241259944058e-20  1.1731217703077511e-20
2286.06  1.3249035273501565e-20  1.2133762728483132e-20
2286.08  1.3478863220014708e-20  1.2354652226306232e-20
2286.1  1.365717287151858e-20  1.2521730000698489e-20
