# H2O 3800-3825, p=1013hPa T=250K. nu  sigma_Voigt  sigma_HartmannTran
3800.0  8.777540661021393e-21  8.768381443017055e-21
3800.004  8.762411744698836e-21  8.751536094165969e-21
3800.008  8.749359711198698e-21  8.737047983602324e-21
3800.012  8.738639260026442e-21  8.725147553098334e-21
3800.016  8.73045598709674e-21  8.71601416797343e-21
3800.02  8.724971742284758e-21  8.709782857310438e-21
3800.024  8.722310066636749e-21  8.706550793280784e-21
3800.028  8.72256149920358e-21  8.706383341201562e-21
3800.032  8.725788605556637e-21  8.709319580838535e-21
3800.036  8.732030632100127e-21  8.715377252054877e-21
3800.04  8.741307732087563e-21  8.72455711629656e-21
3800.044  8.753624741369486e-21  8.736846751992883e-21
3800.048  8.76897450553343e-21  8.752223819133157e-21
3800.052  8.78734077657484e-21  8.770658838383164e-21
3800.056  8.808700707947091e-21  8.792117534838421e-21
3800.06  8.833026983141622e-21  8.816562797663232e-21
3800.064  8.860289615794208e-21  8.843956305366804e-21
3800.068  8.890457459914368e-21  8.874259863548795e-21
3800.072  8.923499467661646e-21  8.907436498071195e-21
3800.076  8.959385730035887e-21  8.943451342392858e-21
3800.08  8.998088332994542e-21  8.98227235346086e-21
3800.084  9.039582058636752e-21  9.023870886509378e-21
3800.088  9.083844957998905e-21  9.06822215527334e-21
3800.092  9.130858819069716e-21  9.115305600665582e-21
3800.096  9.180609550991521e-21  9.165105188001446e-21
3800.1  9.233087502700873e-21  9.217696227491825e-21
3800.104  9.28828773209219e-21  9.27290331467384e-21
3800.108  9.346210239511955e-21  9.330808036424582e-21
3800.112  9.406860177320569e-21  9.391414563341687e-21
3800.116  9.470248045425504e-21  9.45473252933063e-21
3800.12  9.536389880555736e-21  9.52077718522145e-21
3800.124  9.605307295382564e-21  9.589569407361285e-21
3800.128  9.677176371850759e-21  9.661284564704407e-21
3800.132  9.751734591802323e-21  9.735659427168216e-21
3800.136  9.829170155144473e-21  9.812881464083308e-21
3800.14  9.90952973663868e-21  9.892996584406128e-21
3800.144  9.992866780602908e-21  9.97605741673792e-21
